name,date
A/Quebec/161/2019|EPIISL411535|2019-12-03,2019/12/3
A/Quebec/197/2019|EPIISL411575|2019-12-23,2019/12/23
A/Belgium/IS0529/2020|EPIISL2484034|2020-01-26,2020/1/26
A/NewYork/11595/2020|EPIISL427949|2020-02-01,2020/2/1
A/Alberta/111/2019|EPIISL411550|2019-12-19,2019/12/19
A/Singapore/KK0531/2020|EPIISL481336|2020-01-21,2020/1/21
A/Stockholm/7/2020|EPIISL412399|2020-01-21,2020/1/21
A/Thailand/CU-B36847/2020|EPIISL4069971|2020-02-22,2020/2/22
A/FriuliVeneziaGiulia/257/2020|EPIISL486719|2020-02-11,2020/2/11
A/HongKong/711/2020|EPIISL732331|2020-03-20,2020/3/20
A/England/195200780/2019|EPIISL409976|2019-12-23,2019/12/23
A/England/195180883/2019|EPIISL428668|2019-12-08,2019/12/8
A/England/201141147/2020|EPIISL9029627|2020-02-20,2020/2/20
A/NordPasdeCalais/1108/2020|EPIISL515497|2020-02-10,2020/2/10
A/England/195200779/2019|EPIISL459842|2019-12-20,2019/12/20
A/Stavropol/10/2020|EPIISL485775|2020-03-03,2020/3/3
A/Poland/PL83/2022|EPIISL16759922|2022-12-11|HA|4,2022/12/11
A/BritishColumbia/PHL-288/2022|EPIISL16283363|2022-11-04|HA|4,2022/11/4
A/England/225261217/2022|EPIISL17246634|2022-12-20|HA|4,2022/12/20
A/Michigan/UOM10048610052/2022|EPIISL16869610|2022-11-28|HA|4,2022/11/28
A/France/ARA-HCL022215638501/2022|EPIISL16822859|2022-12-26|HA|4,2022/12/26
A/Michigan/UOM10048462611/2022|EPIISL16641735|2022-11-17|HA|4,2022/11/17
A/Salamanca/39/2022|EPIISL17268701|2022-11-08|HA|4,2022/11/8
A/RhodeIsland/87/2022|EPIISL16834460|2022-12-22|HA|4,2022/12/22
A/Massachusetts/49/2022|EPIISL16831076|2022-12-18|HA|4,2022/12/18
A/BritishColumbia/PHL-440/2022|EPIISL16401610|2022-12-04|HA|4,2022/12/4
A/Michigan/HFHSRR005105931/2022|EPIISL16935788|2022-12-10|HA|4,2022/12/10
A/Lisboa/620/2022|EPIISL16181359|2022-11-07|HA|4,2022/11/7
A/Delaware/43/2023|EPIISL17625827|2023-03-22|HA|4,2023/3/22
A/Baden-Wurttemberg/14/2023|EPIISL17505335|2023-02-10|HA|4,2023/2/10
A/England/224860393/2022|EPIISL16616098|2022-11-27|HA|4,2022/11/27
A/Washington/99/2022|EPIISL16833955|2022-12-23|HA|4,2022/12/23
A/England/224780219/2022|EPIISL16477500|2022-11-20|HA|4,2022/11/20
A/CostaRica/INC-0024-771501/2022|EPIISL18126927|2022-10-16|HA|4,2022/10/16
A/Navarra/4078/2022|EPIISL16054080|2022-10-21|HA|4,2022/10/21
A/Finland/317/2022|EPIISL16749448|2022-11-11|HA|4,2022/11/11
A/England/230180691/2022|EPIISL16886954|2022-12-25|HA|4,2022/12/25
A/England/225280004/2022|EPIISL17246646|2022-12-29|HA|4,2022/12/29
A/Germany/13819/2022|EPIISL16743902|2022-12-11|HA|4,2022/12/11
A/Rheinland-Pfalz/USAFSAM-13690/2022|EPIISL16888818|2022-11-18|HA|4,2022/11/18
A/Lisboa/666/2022|EPIISL16619075|2022-11-15|HA|4,2022/11/15
A/Georgia/2194/2022|EPIISL18123720|2022-11-22|HA|4,2022/11/22
A/Norway/32641/2022|EPIISL16465194|2022-10-17|HA|4,2022/10/17
A/CastillaLaMancha/4541/2022|EPIISL16836716|2022-11-24|HA|4,2022/11/24
A/Germany/13965/2022|EPIISL16744190|2022-12-28|HA|4,2022/12/28
A/Japan/USAFSAM-14163/2023|EPIISL17699581|2023-03-07|HA|4,2023/3/7
A/NewYork/13791/2022|EPIISL16574748|2022-11-29|HA|4,2022/11/29
A/Michigan/HFHSL360219308/2022|EPIISL16935748|2022-12-09|HA|4,2022/12/9
A/Michigan/HFHSL360157762/2022|EPIISL17401927|2022-12-07|HA|4,2022/12/7
A/KAWASAKI/4/2023|EPIISL17978680|2023-01-10|HA|4,2023/1/10
A/Netherlands/10002/2023|EPIISL16494733|2023-01-02|HA|4,2023/1/2
A/Netherlands/01342/2022|EPIISL15984904|2022-11-24|HA|4,2022/11/24
A/Rheinland-Pfalz/USAFSAM-13722/2022|EPIISL16890341|2022-11-27|HA|4,2022/11/27
A/Yunnan-Xishan/11119/2022|EPIISL16559115|2022-11-14|HA|4,2022/11/14
A/Michigan/HFHSL360077478/2022|EPIISL16872227|2022-12-04|HA|4,2022/12/4
A/Hessen/95/2022|EPIISL16552841|2022-11-28|HA|4,2022/11/28
A/Singapore/GP12092/2022|EPIISL16433724|2022-11-16|HA|4,2022/11/16
A/ABUDHABI/UAE/0004269/2022|EPIISL17813972|2022-10-16|HA|4,2022/10/16
A/California/35/2023|EPIISL17391811|2023-02-13|HA|4,2023/2/13
A/Romania/136/2023|EPIISL17209820|2023-01-05|HA|4,2023/1/5
A/England/224880470/2022|EPIISL16616139|2022-11-29|HA|4,2022/11/29
A/Michigan/UOM-863116/2022|EPIISL18125314|2022-12-13|HA|4,2022/12/13
A/Catalonia/NSVH170116992/2022|EPIISL16075750|2022-11-30|HA|4,2022/11/30
A/Shanghai-Huangpu/1658/2022|EPIISL16559147|2022-10-02|HA|4,2022/10/2
A/England/225260286/2022|EPIISL16858528|2022-12-23|HA|4,2022/12/23
A/Baltimore/JH-0410/2022|EPIISL15807292|2022-10-20|HA|4,2022/10/20
A/VelikiyNovgorod/RII-MH132636S/2023|EPIISL17710830|2023-02-01|HA|4,2023/2/1
A/ABUDHABI/UAE/0004535/2022|EPIISL17813904|2022-10-21|HA|4,2022/10/21
A/NewYork/16/2023|EPIISL17100771|2023-01-12|HA|4,2023/1/12
A/Shandong-Shibei/11422/2022|EPIISL16873569|2022-11-30|HA|4,2022/11/30
A/Michigan/UOM-962648/2022|EPIISL18133356|2022-12-19|HA|4,2022/12/19
A/Georgia/25/2022|EPIISL15928337|2022-10-08|HA|4,2022/10/8
A/Ontario/215/2022|EPIISL16755576|2022-12-21|HA|4,2022/12/21
A/England/225281086/2022|EPIISL17246837|2022-12-24|HA|4,2022/12/24
A/Minnesota/IVYD13J53G0/2022|EPIISL16957211|2022-11-25|HA|4,2022/11/25
A/Switzerland/28394/2022|EPIISL16759875|2022-12-19|HA|4,2022/12/19
A/IledeFrance/57267/2022|EPIISL16680832|2022-11-30|HA|4,2022/11/30
A/Luga/RII-11398S/2023|EPIISL17674708|2023-02-06|HA|4,2023/2/6
A/Michigan/UOM10048606708/2022|EPIISL16869594|2022-11-28|HA|4,2022/11/28
A/Murcia/4784/2022|EPIISL16591316|2022-12-04|HA|4,2022/12/4
A/Germany/13516/2022|EPIISL16486018|2022-10-19|HA|4,2022/10/19
A/Michigan/UOM10048840685/2022|EPIISL16872549|2022-12-12|HA|4,2022/12/12
A/Singapore/SAR0857/2023|EPIISL17966211|2023-01-25|HA|4,2023/1/25
A/Michigan/UOM10049179487/2023|EPIISL17804752|2023-01-05|HA|4,2023/1/5
A/Brunei/64/2022|EPIISL16003439|2022-10-07|HA|4,2022/10/7
A/Estonia/171948/2022|EPIISL17223841|2022-11-30|HA|4,2022/11/30
A/Slovenia/11321/2022|EPIISL17204379|2022-12-12|HA|4,2022/12/12
A/England/230120114/2022|EPIISL16858559|2022-12-29|HA|4,2022/12/29
A/ABUDHABI/UAE/0003999/2022|EPIISL17813942|2022-10-11|HA|4,2022/10/11
A/Michigan/MISAPPHIRE907425296/2022|EPIISL18076720|2022-12-14|HA|4,2022/12/14
A/NewMexico/13779/2022|EPIISL16574603|2022-12-05|HA|4,2022/12/5
A/Michigan/UOM-925141/2022|EPIISL18133328|2022-12-16|HA|4,2022/12/16
A/Catalonia/NSVH198257086/2022|EPIISL15504833|2022-10-18|HA|4,2022/10/18
A/Missouri/21/2023|EPIISL17391848|2023-03-06|HA|4,2023/3/6
A/Colorado/IVYD13J60F4/2022|EPIISL17018942|2022-11-30|HA|4,2022/11/30
A/Washington/31872/2022|EPIISL16868571|2022-12-01|HA|4,2022/12/1
A/AbuDhabi/7700/2022|EPIISL16836805|2022-11-23|HA|4,2022/11/23
A/Hawaii/49/2022|EPIISL16834781|2022-10-24|HA|4,2022/10/24
A/Rheinland-Pfalz/24/2022|EPIISL16549343|2022-10-31|HA|4,2022/10/31
A/California/RVTNL9158972875573/2022|EPIISL18005292|2022-12-07|HA|4,2022/12/7
A/France/ARA-HCL023005127901/2023|EPIISL16823073|2023-01-09|HA|4,2023/1/9
A/Bawshar/72212056/2022|EPIISL15926922|2022-10-30|HA|4,2022/10/30
A/Lisboa/727/2022|EPIISL16619156|2022-11-29|HA|4,2022/11/29
A/Sichuan-Fucheng/12159/2022|EPIISL16873578|2022-12-07|HA|4,2022/12/7
A/Norway/33536/2022|EPIISL16759864|2022-11-01|HA|4,2022/11/1
A/Missouri/10/2023|EPIISL17250813|2023-01-23|HA|4,2023/1/23
A/Illinois/22/2022|EPIISL15929699|2022-11-01|HA|4,2022/11/1
A/Japan/14075/2023|EPIISL17008575|2023-01-20|HA|4,2023/1/20
A/Michigan/UOM10048895359/2022|EPIISL17551755|2022-12-15|HA|4,2022/12/15
A/Hessen/109/2022|EPIISL17038074|2022-11-28|HA|4,2022/11/28
A/CastillaLaMancha/4360/2022|EPIISL16749867|2022-11-10|HA|4,2022/11/10
A/Gwangju/137/2022|EPIISL16922243|2022-11-21|HA|4,2022/11/21
A/Sweden/27/2022|EPIISL16598929|2022-12-21|HA|4,2022/12/21
A/Colorado/01/2023|EPIISL17100200|2023-01-01|HA|4,2023/1/1
A/Ontario/127/2022|EPIISL16755552|2022-12-10|HA|4,2022/12/10
A/Colorado/USAFSAM-13813/2022|EPIISL16919130|2022-12-15|HA|4,2022/12/15
A/NewYork/IVYG43P90Y2/2022|EPIISL17019070|2022-12-16|HA|4,2022/12/16
A/Thueringen/49/2022|EPIISL16551707|2022-11-14|HA|4,2022/11/14
A/Maine/45/2022|EPIISL16834413|2022-12-19|HA|4,2022/12/19
A/England/225060710/2022|EPIISL16749458|2022-12-12|HA|4,2022/12/12
A/Michigan/HFHSL360236108/2022|EPIISL17804645|2022-12-10|HA|4,2022/12/10
A/England/224680739/2022|EPIISL16100760|2022-11-10|HA|4,2022/11/10
A/Belgium/S1204/2023|EPIISL18167363|2023-02-16|HA|4,2023/2/16
A/Dijon/04835/2023|EPIISL18167389|2023-02-17|HA|4,2023/2/17
A/Michigan/HFHSL360175632/2022|EPIISL16872340|2022-12-08|HA|4,2022/12/8
A/Michigan/HFHSL360141665/2022|EPIISL16872265|2022-12-06|HA|4,2022/12/6
A/Wyoming/24/2022|EPIISL16447137|2022-12-02|HA|4,2022/12/2
A/Missouri/13747/2022|EPIISL16572592|2022-11-29|HA|4,2022/11/29
A/India/GIHSN-HCL023127033201/2023|EPIISL18131267|2023-01-24|HA|4,2023/1/24
A/Netherlands/12246/2022|EPIISL16600560|2022-12-31|HA|4,2022/12/31
A/Burgos/259/2022|EPIISL16520475|2022-10-11|HA|4,2022/10/11
A/Wyoming/25/2022|EPIISL16447158|2022-12-02|HA|4,2022/12/2
A/Romania/543855/2022|EPIISL16760516|2022-12-22|HA|4,2022/12/22
A/Netherlands/01348/2022|EPIISL16054270|2022-11-27|HA|4,2022/11/27
A/Michigan/UOM10049067718/2022|EPIISL17019281|2022-12-27|HA|4,2022/12/27
A/BritishColumbia/PHL-364/2022|EPIISL16283452|2022-11-30|HA|4,2022/11/30
A/Wisconsin/12/2023|EPIISL17102363|2023-01-23|HA|4,2023/1/23
A/Shandong-Zhangdian/1730/2022|EPIISL16873572|2022-12-15|HA|4,2022/12/15
A/Idaho/59/2022|EPIISL16834772|2022-11-22|HA|4,2022/11/22
A/Ontario/012/2022|EPIISL16755488|2022-11-09|HA|4,2022/11/9
A/Netherlands/01099/2023|EPIISL17258028|2023-03-06|HA|4,2023/3/6
A/Rheinland-Pfalz/USAFSAM-13884/2022|EPIISL16920469|2022-12-23|HA|4,2022/12/23
A/England/225060687/2022|EPIISL16749380|2022-12-07|HA|4,2022/12/7
A/Ohio/46/2022|EPIISL15929473|2022-10-25|HA|4,2022/10/25
A/Ceuta/230132/2022|EPIISL16914528|2022-12-29|HA|4,2022/12/29
A/Albania/290633/2023|EPIISL17223857|2023-01-06|HA|4,2023/1/6
A/Lebanon/2927/2022|EPIISL17981141|2022-12-27|HA|4,2022/12/27
A/Denmark/233/2023|EPIISL17190248|2023-01-20|HA|4,2023/1/20
A/California/54/2023|EPIISL17806294|2023-04-27|HA|4,2023/4/27
A/Parma/83/2022|EPIISL17268705|2022-11-14|HA|4,2022/11/14
A/Lisboa/748/2022|EPIISL16619173|2022-12-05|HA|4,2022/12/5
A/Michigan/68/2022|EPIISL16201237|2022-10-26|HA|4,2022/10/26
A/CastillaLaMancha/315/2023|EPIISL17095526|2023-01-10|HA|4,2023/1/10
A/Galicia/22019144/2022|EPIISL16470930|2022-11-17|HA|4,2022/11/17
A/Quebec/007/2022|EPIISL16755644|2022-11-13|HA|4,2022/11/13
A/ROMANIA/545443/2023|EPIISL17069093|2023-01-17|HA|4,2023/1/17
A/Andalucia/230467/2022|EPIISL17094967|2022-12-14|HA|4,2022/12/14
A/Idaho/43/2022|EPIISL16201533|2022-11-09|HA|4,2022/11/9
A/Norway/32514/2022|EPIISL15728506|2022-10-15|HA|4,2022/10/15
A/Slovakia/23-1458/2023|EPIISL17496548|2023-02-06|HA|4,2023/2/6
A/Michigan/UOM10048932271/2022|EPIISL17551764|2022-12-16|HA|4,2022/12/16
A/Idaho/65/2022|EPIISL16385135|2022-11-26|HA|4,2022/11/26
A/Michigan/HFHSL361710109/2023|EPIISL17983336|2023-01-31|HA|4,2023/1/31
A/Michigan/HFHSL360212510/2022|EPIISL17804621|2022-12-09|HA|4,2022/12/9
A/Michigan/UOM10049895567/2023|EPIISL17832885|2023-02-16|HA|4,2023/2/16
A/Japan/USAFSAM-14166/2023|EPIISL17699576|2023-03-13|HA|4,2023/3/13
A/Germany/13512/2022|EPIISL16486014|2022-10-17|HA|4,2022/10/17
A/IledeFrance/57794/2022|EPIISL16680840|2022-12-06|HA|4,2022/12/6
A/Andalucia/230459/2022|EPIISL17094857|2022-12-07|HA|4,2022/12/7
A/NorthDakota/21/2023|EPIISL17391837|2023-02-22|HA|4,2023/2/22
A/Human/NewYork/PV81107/2022|EPIISL17368528|2022-11-21|HA|4,2022/11/21
A/Andalucia/230470/2022|EPIISL17095009|2022-12-14|HA|4,2022/12/14
A/Kentucky/17/2022|EPIISL16763925|2022-12-05|HA|4,2022/12/5
A/Singapore/KK719/2022|EPIISL16520222|2022-10-17|HA|4,2022/10/17
A/Lisboa/762/2022|EPIISL16619184|2022-12-05|HA|4,2022/12/5
A/England/224480294/2022|EPIISL16032505|2022-10-21|HA|4,2022/10/21
A/Wisconsin/RVTNL2789838835621/2022|EPIISL17464799|2022-11-24|HA|4,2022/11/24
A/Michigan/HFHSL361408067/2023|EPIISL17983274|2023-01-18|HA|4,2023/1/18
A/Mexico/0826/2022|EPIISL16447189|2022-11-14|HA|4,2022/11/14
A/Michigan/UOMHS16149/2022|EPIISL17019586|2022-11-23|HA|4,2022/11/23
A/Catalonia/NSVH741052779/2022|EPIISL16196735|2022-12-13|HA|4,2022/12/13
A/Estonia/173645/2023|EPIISL18008505|2023-03-02|HA|4,2023/3/2
A/KhonKaen/FS010/2022|EPIISL16613619|2022-11-18|HA|4,2022/11/18
A/Netherlands/11876/2022|EPIISL16140150|2022-12-02|HA|4,2022/12/2
A/England/224380524/2022|EPIISL15888857|2022-10-22|HA|4,2022/10/22
A/Michigan/UOM10049116779/2022|EPIISL17551696|2022-12-30|HA|4,2022/12/30
A/NewYork/14005/2022|EPIISL16744258|2022-12-14|HA|4,2022/12/14
A/England/231280378/2022|EPIISL18010867|2022-12-14|HA|4,2022/12/14
A/France/PAC-HCL023026489601/2023|EPIISL17693696|2023-02-06|HA|4,2023/2/6
A/Michigan/UOM10049062213/2022|EPIISL18005649|2022-12-27|HA|4,2022/12/27
A/California/185/2022|EPIISL16834783|2022-11-22|HA|4,2022/11/22
A/Hubei-Duodao/251/2023|EPIISL18068854|2023-03-20|HA|4,2023/3/20
A/ChampagneArdenne/57260/2022|EPIISL16680826|2022-12-01|HA|4,2022/12/1
A/Florida/10/2023|EPIISL17212777|2023-01-09|HA|4,2023/1/9
A/Florida/127/2022|EPIISL16830249|2022-11-14|HA|4,2022/11/14
A/Oregon/52/2022|EPIISL16201529|2022-11-08|HA|4,2022/11/8
A/CastillaLaMancha/4033/2022|EPIISL16054000|2022-10-10|HA|4,2022/10/10
A/Tennessee/50/2022|EPIISL16830201|2022-11-23|HA|4,2022/11/23
A/Germany/13559/2022|EPIISL16491571|2022-10-27|HA|4,2022/10/27
A/Michigan/UOM-10048371304/2022|EPIISL17634430|2022-11-11|HA|4,2022/11/11
A/England/230540122/2023|EPIISL17225066|2023-01-30|HA|4,2023/1/30
A/England/224120264/2022|EPIISL16937244|2022-10-10|HA|4,2022/10/10
A/France/ARA-HCL022211054901/2022|EPIISL16822687|2022-12-17|HA|4,2022/12/17
A/Estonia/KL6953/2022|EPIISL17223842|2022-12-02|HA|4,2022/12/2
A/Michigan/UOM10048652655/2022|EPIISL16869650|2022-11-30|HA|4,2022/11/30
A/Michigan/UOM-10048344343/2022|EPIISL17634535|2022-11-10|HA|4,2022/11/10
A/CastillaLaMancha/4107/2022|EPIISL15999264|2022-10-17|HA|4,2022/10/17
A/Hessen/100/2022|EPIISL17037924|2022-11-22|HA|4,2022/11/22
A/Ireland/9045/2023|EPIISL18044567|2023-02-04|HA|4,2023/2/4
A/Missouri/USAFSAM-13983/2022|EPIISL16919181|2022-12-15|HA|4,2022/12/15
A/Poland/PL76/2022|EPIISL16759328|2022-12-15|HA|4,2022/12/15
A/England/225140707/2022|EPIISL17224995|2022-12-14|HA|4,2022/12/14
A/Lisboa/25/2023|EPIISL17370740|2023-01-04|HA|4,2023/1/4
A/England/225280064/2022|EPIISL17225011|2022-12-19|HA|4,2022/12/19
A/Extremadura/704/2023|EPIISL17297328|2023-02-02|HA|4,2023/2/2
A/Poland/PL50/2022|EPIISL16759329|2022-12-15|HA|4,2022/12/15
A/England/224940233/2022|EPIISL16657763|2022-12-01|HA|4,2022/12/1
A/England/224380555/2022|EPIISL15888903|2022-10-23|HA|4,2022/10/23
A/Chungbuk/736/2023|EPIISL17150660|2023-02-06|HA|4,2023/2/6
A/Vermont/15/2022|EPIISL17100959|2022-11-30|HA|4,2022/11/30
A/Guatemala/327/2022|EPIISL16447183|2022-10-06|HA|4,2022/10/6
A/Ontario/138/2022|EPIISL16755617|2022-12-10|HA|4,2022/12/10
A/Michigan/UOM10049020334/2022|EPIISL18076787|2022-12-22|HA|4,2022/12/22
A/Baltimore/JH-0549/2022|EPIISL16814735|2022-11-02|HA|4,2022/11/2
A/Michigan/HFHSL360223073/2022|EPIISL17804633|2022-12-09|HA|4,2022/12/9
A/France/ARA-HCL022217171601/2022|EPIISL16822902|2022-12-28|HA|4,2022/12/28
A/Michigan/HFHSL360236619/2022|EPIISL17804647|2022-12-10|HA|4,2022/12/10
A/Michigan/HFHSL361461341/2023|EPIISL17983312|2023-01-20|HA|4,2023/1/20
A/Nepal/434/2023|EPIISL18138342|2023-04-03|HA|4,2023/4/3
A/Switzerland/07426/2022|EPIISL16681936|2022-11-17|HA|4,2022/11/17
A/Michigan/HFHSL360219273/2022|EPIISL16935746|2022-12-09|HA|4,2022/12/9
A/CastillaLaMancha/4218/2022|EPIISL15999279|2022-10-23|HA|4,2022/10/23
A/Catalonia/NSVH534133575/2022|EPIISL16258253|2022-12-15|HA|4,2022/12/15
A/Michigan/UOM-907492/2022|EPIISL18120089|2022-12-15|HA|4,2022/12/15
A/England/225100326/2022|EPIISL16749478|2022-12-15|HA|4,2022/12/15
A/Germany/13713/2022|EPIISL16572318|2022-11-23|HA|4,2022/11/23
A/Tennessee/RVTNL3963341312222/2022|EPIISL16631974|2022-10-14|HA|4,2022/10/14
A/NorthDakota/32/2022|EPIISL16761526|2022-12-04|HA|4,2022/12/4
A/Belgium/G0261/2023|EPIISL18167357|2023-03-07|HA|4,2023/3/7
A/Delaware/49/2023|EPIISL17857201|2023-04-24|HA|4,2023/4/24
A/Lisboa/708/2022|EPIISL16619137|2022-11-25|HA|4,2022/11/25
A/CastillaLaMancha/1427/2023|EPIISL17716376|2023-03-12|HA|4,2023/3/12
A/France/ARA-HCL022216793001/2022|EPIISL16822889|2022-12-27|HA|4,2022/12/27
A/Hubei-Yiling/2133/2023|EPIISL18068788|2023-04-18|HA|4,2023/4/18
A/Alabama/USAFSAM-13539/2022|EPIISL16880845|2022-11-07|HA|4,2022/11/7
A/Shandong-Decheng/11130/2022|EPIISL16873560|2022-11-13|HA|4,2022/11/13
A/Massachusetts/55/2022|EPIISL16831100|2022-12-24|HA|4,2022/12/24
A/NorthCarolina/24/2022|EPIISL16765475|2022-11-27|HA|4,2022/11/27
A/Karlstad/5/2023|EPIISL18017736|2023-04-07|HA|4,2023/4/7
A/Ontario/009/2023|EPIISL17585031|2023-01-31|HA|4,2023/1/31
A/Germany/13521/2022|EPIISL16486031|2022-10-22|HA|4,2022/10/22
A/NewHampshire/35/2022|EPIISL16201628|2022-11-21|HA|4,2022/11/21
A/Pennsylvania/75/2022|EPIISL16385110|2022-11-18|HA|4,2022/11/18
A/Hessen/99/2022|EPIISL17037864|2022-11-18|HA|4,2022/11/18
A/ABUDHABI/UAE/0003750/2022|EPIISL17813930|2022-10-05|HA|4,2022/10/5
A/NewMexico/33/2022|EPIISL16385159|2022-11-01|HA|4,2022/11/1
A/BritishColumbia/251/2022|EPIISL16755735|2022-11-22|HA|4,2022/11/22
A/Estonia/171921/2022|EPIISL17223839|2022-11-29|HA|4,2022/11/29
A/England/225281197/2022|EPIISL16886876|2022-12-09|HA|4,2022/12/9
A/England/224320697/2022|EPIISL15888813|2022-10-20|HA|4,2022/10/20
A/Sichuan-Beichuanqiangzuzizhi/36/2023|EPIISL18069025|2023-02-24|HA|4,2023/2/24
A/Ceuta/230141/2022|EPIISL16914535|2022-12-19|HA|4,2022/12/19
A/England/225260241/2022|EPIISL16810456|2022-12-23|HA|4,2022/12/23
A/IledeFrance/56671/2022|EPIISL16201992|2022-11-28|HA|4,2022/11/28
A/Singapore/TT0203/2022|EPIISL16520262|2022-10-12|HA|4,2022/10/12
A/Rheinland-Pfalz/USAFSAM-13868/2022|EPIISL16920458|2022-12-22|HA|4,2022/12/22
A/Extremadura/4068/2022|EPIISL16054053|2022-10-17|HA|4,2022/10/17
A/Nordrhein-Westfalen/40/2022|EPIISL16087646|2022-10-13|HA|4,2022/10/13
A/Denmark/3136/2022|EPIISL16750983|2022-11-05|HA|4,2022/11/5
A/Norway/32389/2022|EPIISL15728516|2022-10-10|HA|4,2022/10/10
A/Japan/14146/2023|EPIISL17467390|2023-02-27|HA|4,2023/2/27
A/Zhejiang-Gongshu/11024/2022|EPIISL16559165|2022-10-13|HA|4,2022/10/13
A/France/PAC-HCL022218131701/2022|EPIISL17324369|2022-12-27|HA|4,2022/12/27
A/Netherlands/01926/2022|EPIISL16411871|2022-12-19|HA|4,2022/12/19
A/Poland/PL34/2022|EPIISL16759324|2022-12-20|HA|4,2022/12/20
A/Missouri/13751/2022|EPIISL16572626|2022-12-07|HA|4,2022/12/7
A/Iowa/79/2022|EPIISL16834397|2022-12-30|HA|4,2022/12/30
A/Michigan/HFHSL360239279/2022|EPIISL17804659|2022-12-10|HA|4,2022/12/10
A/Berlin/149/2022|EPIISL16087628|2022-10-06|HA|4,2022/10/6
A/Extremadura/531/2023|EPIISL17297320|2022-12-28|HA|4,2022/12/28
A/Switzerland/54601/2022|EPIISL16759983|2022-11-01|HA|4,2022/11/1
A/Catalonia/NSVH198263297/2022|EPIISL16459966|2022-12-29|HA|4,2022/12/29
A/Michigan/UOM10048995146/2022|EPIISL16872634|2022-12-21|HA|4,2022/12/21
A/Catalonia/NSGT198261038/2022|EPIISL17400171|2022-11-30|HA|4,2022/11/30
A/Norway/03431/2023|EPIISL17266696|2023-03-04|HA|4,2023/3/4
A/ROMANIA/545017/2023|EPIISL17069008|2023-01-12|HA|4,2023/1/12
A/Philippines/35/2022|EPIISL17306144|2022-11-09|HA|4,2022/11/9
A/Germany/13906/2022|EPIISL16744057|2022-12-28|HA|4,2022/12/28
A/Michigan/UOM-936795/2022|EPIISL18125302|2022-12-17|HA|4,2022/12/17
A/Jiangxi-Linchuan/1312/2023|EPIISL18068860|2023-03-16|HA|4,2023/3/16
A/Switzerland/16056/2022|EPIISL16681987|2022-12-19|HA|4,2022/12/19
A/Switzerland/85876/2022|EPIISL16759981|2022-11-14|HA|4,2022/11/14
A/Illinois/05/2023|EPIISL16834381|2023-01-08|HA|4,2023/1/8
A/Catalonia/NSVH198264300/2023|EPIISL16647400|2023-01-12|HA|4,2023/1/12
A/Lebanon/GIHSN-HCL023019034601/2022|EPIISL16868851|2022-11-13|HA|4,2022/11/13
A/Michigan/UOM10048791041/2022|EPIISL16872378|2022-12-08|HA|4,2022/12/8
A/NewYork/RVTNL6835155935323/2022|EPIISL16935709|2022-12-06|HA|4,2022/12/6
